case_id,table,operation,trigger,attr_type,before,after,note,sql
CASE-000,orders,INSERT,新規作成,order_status,NULL,NEW,初回作成,INSERT INTO orders ...
CASE-000,,,,order_amount,NULL,1000,初期金額,
CASE-000,,,,order_paid_at,NULL,NULL,未決済,
CASE-001,orders,UPDATE,注文確定,order_status,NEW,PAID,決済完了,UPDATE orders SET ...
CASE-001,,,,order_amount,1000,1000,金額変更なし,
CASE-001,,,,order_paid_at,NULL,2026-02-01,決済日時,
CASE-001,,,,order_deleted_flag,0,0,変更なし,
CASE-002,orders,UPDATE,キャンセル,order_status,PAID,CANCEL,ユーザー操作,UPDATE orders SET ...
CASE-002,,,,order_canceled_at,NULL,2026-02-02,取消日時,
CASE-002,,,,order_amount,1000,1000,金額変更なし,
CASE-003,orders,UPDATE,SupportTool,order_status,CANCEL,REFUND,,UPDATE orders SET status='canceled' WHERE ...
CASE-003,,,,order_canceled_at,,2026-02-03,,
CASE-003,,,,order_amount,1000,NULL,,
CASE-004,orders,DELETE,BatchJob,order_deleted_flag,0,1,,DELETE FROM orders WHERE ...
CASE-004,,,,order_status,REFUND,REFUND,変更なし,
CASE-005,payments,UPDATE,AdminUI,payment_amount,1000,1500,手動調整,UPDATE payments SET amount=1500 WHERE ...
CASE-005,,,,payment_status,PENDING,PAID,,
CASE-005,,,,payment_method,card,card,変更なし,
CASE-006,customers,UPDATE,RefundAPI,customer_status,ACTIVE,SUSPENDED,返金により停止,UPDATE customers SET status='SUSPENDED' WHERE ...
CASE-006,,,,customer_tier,GOLD,SILVER,,
CASE-006,,,,customer_last_paid_at,2026-02-02,NULL,,UPDATE customers SET paid_at=NULL WHERE ...
