"idbug","where","what","status","developers","testers"
"93586","UAT2環境_更新依頼","UAT2環境_更新依頼","upload_check",,
"93585","MOD DEV: 4000_3_1_SMBC買取状態読込","(UAT A36)エンドレコードの最後に改行が入り「EOF」の位置が 変更されている(SMBC18s)","open",,
"93580","traininggcp環境_更新依頼","traininggcp環境_更新依頼","upload_check",,
"93579","NEW DEV:  4100_4_1_POS売上結果日中照会(バッチ)","(UATxxx)POS売上結果日中照会(バッチ)の新規開発(SMBCPOS19s)","developing",,"Janine"
"93572","4100_1_1_POS売上データ送信","(UATxxx)JANコードが取得できていない(SMBCPOS19s)","ph_done","Adolf","Jeff"
"93571","調査","adminに紐づくresourceの設定値","investigation_done","Mon","MJ"
"93567","4100_1_1_POS売上データ送信","(UATxxx)クリアボタンでPOS状態プルダウンが初期値に戻らない(SMBCPOS19s)","ph_done","Adolf","Jeff"
"93566","4100_1_1_POS売上データ送信","(UATxxx)入金予定額と入金額の表示位置(SMBCPOS19s)","ph_done","Adolf","Jeff"
"93565","4100_1_1_POS売上データ送信","(UATxxx)POS入金済のレコードが初期表示で表示されている(SMBCPOS19s)","ph_done","Adolf","Jeff"
"93559","MOD DEV: 4000_2_3_SMBC請求データ作成バッチ","(UAT A33 A34)データ長エラーになった際の、ファイル出力箇所の修正と「契約者が本人と異なる場合」の個人情報の出し方(SMBC18s)","open",,
"93557","MOD DEV: 4000_1_3_SMBC債権買取顧客情報送信バッチ","(UAT A33)データ長エラーになった際のファイル出力箇所の修正。(SMBC18s)","open",,
"93553","調査 工数算出","ファイル出力ボタンを実装する場合の工数を知りたい","investigation_done","Adolf","Jeff"
"93552","調査 バッチが実行されない","本番環境のみバッチが実行されない","closed","Adolf, Roy","MJ"
"93540","Monとのやり取りブリッジ","工数管理の経緯","investigation_done","Mon","Jeff"
"93537","MOD-DEV: POS機能用　ラベル名変更　pos_response_error.student_idを36に変更","(UATxxx)テーブル定義(SMBCPOS19s)","ph_done","Clark","Anna"
"93536","NEW DEV: 4100_3_1_POSレスポンスエラー一覧","(UATxxx)4100_3_1_POSレスポンスエラー一覧 の新規開発(SMBCPOS19s)","developing","Roy","MJ"
"93505","1600_2_1_未収金一覧","(UATA4)画面表示に数分かかる(shima)","re-open","Jed","Anna"
"93503","1600_17_1_返金一覧","(UATA21)処理が重い(shima17s)","staging_uploaded","Adolf","Anna"
"93499","MOD DEV: 4000_1_3_SMBC債権買取顧客情報送信バッチ","(UAT A32)SMBCのメール件名と文面修正(SMBC18s)","open","Adolf","Jeff"
"93498","MOD DEV: 4000_2_3_SMBC請求データ作成バッチ","(UAT A31)SMBCのメール件名と文面修正(SMBC18s)","open",,
"93461","MOD DEV: 4100_0_POSレジ売上連携システムAPI仕様書　関連：93309","(UATxxx)API接続のアクセス先の変更　本番APIへ向き先の修正 (SMBCPOS19s)","ph_done","Jed","Jeff"
"93460","MOD DEV: 4100_0_POSレジ売上連携システムAPI仕様書","(UATxxx)翻訳のみ　4100_0_POSレジ売上連携システムAPI仕様書 (SMBCPOS19s)","other",,"Jeff"
"93456"," MOD DEV: 仕様書なし　標準機能　主に料金周りの改修 関連：93265","(UATxxx)POS売上データ送信済みの料金関連のレコードは保存できないようにする(SMBCPOS19s)","ph_done","Clark","Janine"
"93454"," MOD DEV: 1000_3_1_受講生登録・経理ビュー　（ほぼNEW DEV）","(UATxxx)POS売上結果照会・更新の新規開発(SMBCPOS19s)","ph_testing","Mon","Janine"
"93453","NEW DEV: 4100_1_1_POS売上データ送信","(UATxxx)4100_1_1_POS売上データ送信の新規開発(SMBCPOS19s)","jp_testing","Adolf","Jeff "
"93451","MOD-DEV: POS機能用　テーブル追加やカラム追加","(UATxxx)テーブル定義(SMBCPOS19s)","ph_done","Clark","Anna"
"93444","MOD DEV:1600_10_1_口座振替請求データ作成","(UAT A26)顧客番号の設定仕様変更(shima17s)","staging_uploaded","Mon","MJ"
"93438","MOD DEV:1000_31_1_問合せフォーム(見込み客連携)","(UAT A7・A30)受講生テーブル更新対象追加等(shima17s)","staging_uploaded","Rio","Jeff"
"93437","MOD-DEV: JANコード　カラム型変更","(UATxxx)テーブル定義(SMBCPOS19s)","merge_ap_rq","Clark","Anna"
"93434","調査 1600_2_1_未収金一覧","(UATA4)画面表示に数分かかる(shima)","re-open","Jed","Anna"
"93433","調査 1600_17_1_返金一覧","(UATA21)処理が重い(shima)","re-open","Adolf","Anna"
"93429","本番環境の更新依頼(UAT2も)","本番環境の更新をお願いします(UAT2も)","upload_check",,
"93418","MOD-DEV: XX-XX","(UATxxx)-----(shimaXXs)","closed",,
"93414","-","POS説明会の実施（★POS大事な内容まとめ★）","investigation_done","Mon","Jeff"
"93413","trainigGCP環境_更新依頼","trainigGCP環境_更新依頼","upload_check",,
"93408","smbcpos_uat環境_更新依頼","smbcpos_uat環境_更新依頼","upload_check",,
"93401","smbcpos_training環境_更新依頼","smbcpos_training環境_更新依頼","upload_check",,
"93390","4000_3_1_SMBC買取状態読込","(UATxxx)必要なフォルダが作成されない(SMBCPOS16s)","staging_uploaded","Adolf","Janine"
"93388","MOD DEV: SMBC対応漏れ","(UATxxx)テーブル定義(SMBCPOS16s)","staging_uploaded","Clark","Anna"
"93377","MOD DEV: テーブル定義  SMBCという文言削除","(UATxxx)テーブル定義(SMBCPOS16s)","staging_uploaded","Clark","Anna"
"93374","MOD DEV: 4000_3_2_SMBC買取状態一覧","(UATxxx)画面の名称変更等(SMBCPOS16s)","staging_uploaded","Roy","MJ"
"93373","MOD DEV: 4000_3_1_SMBC買取状態読込","(UATxxx)画面の名称変更等(SMBCPOS16s)","staging_uploaded","Adolf","Janine"
"93372","MOD DEV: 4000_2_2_SMBC請求データ一覧","(UATxxx)画面の名称変更等(SMBCPOS16s)","staging_uploaded","Clark","Anna"
"93371","MOD DEV: 4000_2_1_SMBC請求データ履歴","(UATxxx)画面の名称変更等(SMBCPOS16s)","staging_uploaded","Clark","Anna"
"93370","MOD DEV: 4000_1_2_SMBC債権買取顧客情報一覧","(UATxxx)画面の名称変更等(SMBCPOS16s)","staging_uploaded","Mark","Anna"
"93369","MOD DEV: 4000_1_1_SMBC債権買取顧客情報登録","(UATxxx)タイトル名変更(SMBCPOS16s)","staging_uploaded","Clark","Janine"
"93363","smbcpos_uat環境_更新依頼","smbcpos_uat環境_更新依頼","upload_check",,
"93350","調査 4000_3_1_SMBC買取状態読込","(UATxxx)前日取込チェックのPOP画面が表示されると取込が出来ない(SMBCPOS)","investigation_done","Adolf","Janine"
"93347","MOD-DEV: 2200_2_1","設計書メンテナンスのみ（＝開発無し）","ph_done","Jed","Jeff"
"93344","smbcpos_training環境_更新依頼","smbcpos_training環境_更新依頼","upload_check",,
"93327","MOD DEV: 4000_3_1_SMBC買取状態読込","(UATxxx)数値を3桁カンマ形式で表示(SMBCPOS15s)","staging_uploaded","Adolf","Janine"
"93321","情報共有","POS開発過渡期の共有","investigation_done","Mon","Jeff"
"93309","調査 環境ごとのAPIの向き先の指定　関連：93048、93053、93054","(UATXXX)指定のテストサイトのみを本番APIに向かせる改修の調査(SMBCPOS19s)","investigation_done","Jed","Jeff"
"93300","4000_3_2_SMBC買取状態一覧","(UATxxx)クリアボタンで買取申込店舗が初期値に戻らない(SMBCPOS15s)","staging_uploaded","Roy","MJ"
"93295","4000_3_1_SMBC買取状態読込","(UATxxx)想定値以外の場合でも取込失敗件数にカウントされないものがある(SMBCPOS15s)","staging_uploaded","Adolf","Janine"
"93293","調査 4000_3_1_SMBC買取状態読込","(UATxxx)前日取込チェックと日付関係エラーのチェック順(SMBCPOS)","investigation_done","Adolf","Janine"
"93287","MOD DEV: 4000_3_1_SMBC買取状態読込","(UATxxx)レイアウト変更(SMBCPOS15s)","staging_uploaded","Adolf","Janine"
"93285","調査 4000_3_1_SMBC買取状態読込","(UATxxx)想定値以外の場合でも取込失敗件数にカウントされないものがある(SMBCPOS)","investigation_done","Adolf","Janine"
"93280","smbcpos_uat環境_更新依頼","smbcpos_uat環境_更新依頼","upload_check",,
